epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
29,3,0.76296,0.6739764412307739,0.7156,0.708,0.043808706796787576,518.1373453140259,0.9935220732679364,0.706056146217244,0.3326005471148053,0.68,0.3352850262973724,0.6605274262719274,0.75,0.9824516583158045,0.1431781201034176,0.57,1.1010879904639965,0.06347302757963842,0.41,0.9120265113151803,0.17134395287353166,0.55,0.934659772685596,0.15948016637442064,0.75,0.6564031296922844,0.36232222050276336,0.82,0.6906403285090108,0.32580633368343115,0.75,0.43154097249617385,0.5778277324018429,0.91,0.40575661324914924,0.603470283075787,0.89
30,3,0.76864,0.6571566840553283,0.712,0.688,0.04568483702637945,534.3080251216888,0.9932839212104287,0.6668001787014761,0.3613765005934603,0.65,0.3285116919563437,0.6690391422420436,0.87,0.9265400754401878,0.1685467423985199,0.78,1.0979011943753885,0.06729152950705314,0.47,0.8997080947975723,0.20108206706995868,0.54,0.9053895370084413,0.17320589873255515,0.44,0.6419286711559612,0.3778507385250865,0.73,0.6618697414060637,0.3722321589914512,0.75,0.41876509342798773,0.5866985997869348,0.91,0.3535388270963211,0.6501045652037981,0.74
31,4,0.7442727272727273,0.7162528611096469,0.732,0.724,0.047390910933356255,549.4361190795898,0.9930598641776757,0.703890993844631,0.33913636068965114,0.72,0.35863044181145554,0.6420654119208975,0.87,1.0410041100410528,0.11758861240259437,0.59,1.1434004400358644,0.05033465977324996,0.41,0.9033209512140169,0.18297287089706854,0.74,0.9877963208181914,0.1357301262228988,0.56,0.7048075372829686,0.34031124304720134,0.85,0.7058490851330895,0.3300731815830913,0.71,0.4406781425418029,0.5645960520758012,0.93,0.43792601668297554,0.5725399448731264,0.86
32,4,0.7633636363636364,0.6683814674724232,0.7347,0.748,0.0490469549217283,564.4219760894775,0.993263380818354,0.6920676783680223,0.3428623033904059,0.72,0.35068525531096384,0.6500316658910082,0.88,0.9748276673084082,0.13745507805846457,0.64,1.085839836403381,0.06634018448896187,0.37,0.8445178189769734,0.22286020227989486,0.68,0.9864499163489009,0.12340770245984543,0.76,0.6597104084483066,0.3687264962814922,0.89,0.6523513227246355,0.37860366824451225,0.81,0.4368405724810653,0.5739131603000123,0.88,0.41962670950695524,0.5906463693394217,0.85
33,4,0.7724545454545455,0.6452570484334772,0.7311,0.725,0.05075146414265848,579.9788055419922,0.9930662291620052,0.6509955048907635,0.37574753702379937,0.73,0.31928079167440493,0.6808138473330304,0.9,0.9527403361402279,0.16013162609103115,0.65,1.0738716659157774,0.0737254986929339,0.45,0.8130751655025538,0.2529320612029974,0.74,0.9467529094842977,0.14536589366752048,0.63,0.6582771756058169,0.37158170535207485,0.78,0.6417922411373881,0.3955247139688148,0.8,0.39612146149671007,0.6055073982949347,0.87,0.3963518184501418,0.609497380789456,0.7
34,4,0.78,0.6278653098886663,0.7325,0.714,0.05247797080544912,594.7452642917633,0.9929767457969346,0.6102310014498789,0.40418764351065767,0.51,0.3134875078306555,0.6836405428570457,0.8,0.9172684732218122,0.17466709069734396,0.55,1.048242014161376,0.08376285884269448,0.36,0.8245472318037997,0.23292672365557315,0.76,0.8887948558427566,0.18547585138747857,0.79,0.6534823993827368,0.38187820306264386,0.78,0.611190422373109,0.41148460669399695,0.78,0.393538293981015,0.6140110133930521,0.9,0.3862458806820647,0.6143136024745831,0.91
35,4,0.7865454545454545,0.6084717515598644,0.7299,0.724,0.054231807735681585,609.5275003910065,0.992865569037633,0.636135037815155,0.3823265243581561,0.73,0.29040996176407263,0.7095900382359274,0.84,0.8893248969905598,0.18646502798033315,0.6,1.0160155195829481,0.09693919330142266,0.58,0.8134414625549039,0.2525237719853257,0.75,0.8890209309756756,0.1869387736673965,0.51,0.6038051350746131,0.41163687520054015,0.88,0.5851661052749774,0.4268732366238742,0.64,0.36014323349132443,0.6418076202944788,0.87,0.3796583858188675,0.6366102140461809,0.84
36,4,0.7984545454545454,0.5742615302259272,0.747,0.756,0.05604339939847226,624.5386381149292,0.9926306286363428,0.5887531336223664,0.42525915944472303,0.67,0.29357411165526787,0.7018873647483456,0.91,0.8574941982190276,0.21541759380420974,0.69,0.9754925243729768,0.11685459437065346,0.52,0.7183050778369571,0.3153727544948112,0.68,0.8406778294159922,0.20464597217911898,0.85,0.6118614178064258,0.43837212719196494,0.81,0.5631584042553291,0.4520882005088551,0.75,0.37316170805891935,0.6297361027384394,0.83,0.3501149121615061,0.6588667710650128,0.85
37,4,0.8,0.5659262824492021,0.7599,0.759,0.05788680958451873,639.2592661380768,0.9925011941070659,0.5955218803570714,0.41812976302449095,0.72,0.29051516850432924,0.7060578264042919,0.94,0.8541727265299752,0.21648911767920784,0.73,0.9486841230198394,0.12449289165263952,0.54,0.7152868512757989,0.32294564087723576,0.78,0.8231930532600991,0.2322703876294369,0.62,0.5746862157572841,0.4280244329900936,0.8,0.562749186097536,0.4454623434346083,0.76,0.3299770940529713,0.6775875095363305,0.89,0.34190926441197217,0.6650233934064894,0.81
38,4,0.8052727272727273,0.5550421205433932,0.7517,0.737,0.0597827286542861,654.8588609695435,0.992287593287423,0.5615141084634288,0.4570562827812378,0.69,0.29068757516472754,0.7102449297997018,0.9,0.8146614705234073,0.2377518787113733,0.56,0.9595932894667913,0.13915389187114183,0.59,0.7027497463967911,0.3273910991847515,0.81,0.8132414096143357,0.24288667989678162,0.72,0.5641744081364122,0.4601196168467056,0.73,0.556547645262854,0.46882373852611975,0.65,0.3275305658042821,0.6758434230348008,0.9,0.34268994425250177,0.6594310703979762,0.82
