epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
21,2,0.9011333333333333,0.28639523785909016,0.8174,0.8,1.321018993255319,340.94970202445984,0.9678189065889418,0.3121035667076865,0.6884272139222223,0.7,0.14998130722511982,0.8500186927748802,0.95,0.3927265168980081,0.6112836252660193,0.91,0.5583256879068436,0.4462161697922869,0.43,0.3172415364216617,0.6828746769101696,0.78,0.44546414382280186,0.5569654267202032,0.63,0.23413581844280534,0.7660645495456188,0.87,0.26234359940355445,0.7387130377516943,0.93,0.20573420707096762,0.7915274708333643,0.93,0.20096311132297257,0.8034844315371803,0.87
22,2,0.902,0.2875636668364207,0.8463,0.845,1.3324144592978717,359.4494161605835,0.9660058922622877,0.3273824815777071,0.6758198106819961,0.91,0.15523988992500426,0.8506077482863474,0.87,0.3736935790667826,0.6302932224256245,0.76,0.5464262977876562,0.46964014435702184,0.68,0.34435700438916683,0.6636599821533928,0.85,0.4216979424211573,0.5850398239461665,0.76,0.22044786344817344,0.7672132304057162,0.88,0.25924074689837845,0.7428695583398989,0.97,0.198634954561737,0.8079228113583745,0.87,0.19875713234613748,0.8036306931327613,0.9
23,2,0.9095333333333333,0.26259379574457803,0.8647,0.871,1.342629194914893,378.19688963890076,0.9695281595521764,0.27710236222582296,0.7236544295788763,0.82,0.12684678930747897,0.8688978915435849,0.92,0.37125881884167805,0.63071782539024,0.85,0.5585235369966385,0.45452588137159955,0.79,0.31175181424007453,0.6989852675514177,0.91,0.40436760711661995,0.5984230377116895,0.74,0.24923993196744632,0.7597449087096934,0.84,0.22553335890332435,0.7748185403248731,0.96,0.17135800776428523,0.8250295434216474,0.96,0.18268791896865724,0.805941862470292,0.92
24,2,0.9204,0.2353640508333842,0.8312,0.826,1.3534528921063824,396.67499804496765,0.9677115506225117,0.24695711694657801,0.7536927760836292,0.76,0.12860806056086926,0.8721819875919732,0.94,0.31514697175354084,0.6936523143380405,0.58,0.4722060129204963,0.536497194034622,0.79,0.2580597603257666,0.7419402396742334,0.89,0.38403240162879226,0.6222148606157366,0.79,0.17915837969110804,0.8126142988667546,0.94,0.19401459946752864,0.801914950642497,0.86,0.14733224159442235,0.8484124392566414,0.87,0.1532577229396222,0.847827882580261,0.84
25,2,0.9148,0.24519255177179972,0.8334,0.828,1.364310168234042,415.4936616420746,0.9676113804346818,0.2692188604457423,0.7316298741867092,0.77,0.13963203356346485,0.8603679664365351,0.93,0.3098825708596393,0.6933219884056598,0.87,0.47628150391293333,0.532225812757586,0.82,0.2610110930355385,0.7336820868051988,0.86,0.3583582239463291,0.6441808020299736,0.52,0.20523615180257154,0.7982010796467992,0.87,0.20617838671648914,0.7938216132835109,0.94,0.18778469963048763,0.8162658697009046,0.93,0.1959966805818035,0.8084247853730785,0.77
26,3,0.86672,0.4058509279346466,0.8427,0.85,1.3746297210401643,431.58109068870544,0.9630585720405263,0.4490012765900061,0.5652634675652549,0.87,0.19026544569968054,0.8112912919908752,0.92,0.5202195976970109,0.493052748585481,0.84,0.6808646232155817,0.3539042549816017,0.66,0.4458075978184993,0.5719166199904772,0.88,0.5720389876324607,0.4484954079308984,0.77,0.3351708620154698,0.66866704639361,0.93,0.35581224337600326,0.6486999018269838,0.96,0.2964174700639572,0.7125531974490922,0.91,0.24711466669366333,0.753849929261582,0.76
27,3,0.88512,0.33596319511413575,0.8388,0.84,1.3838065544585318,447.89360070228577,0.9671492227434909,0.34560110718867154,0.6616314414422959,0.78,0.17597872007116291,0.8260956444255741,0.95,0.4505653290306123,0.5659306937144423,0.84,0.613936885925276,0.3965525340897088,0.88,0.36588731334706276,0.6437593797074479,0.81,0.47427293982318774,0.535990422886169,0.75,0.2958152016745975,0.6997699029660518,0.84,0.2814574930543669,0.7223138035149124,0.84,0.2423629841477104,0.7592283035576527,0.85,0.24948860208114268,0.7538453362839372,0.86
28,3,0.90592,0.2747964430332184,0.8413,0.834,1.3922921028003687,464.4773383140564,0.9696238510858124,0.34388343422977746,0.662787934237787,0.91,0.1345424413286857,0.8603555178549878,0.92,0.359224681250694,0.6426350609090521,0.82,0.5542778321826944,0.45862529981805356,0.55,0.3016712880284734,0.69917984866081,0.89,0.4192395426370964,0.5826620766512898,0.74,0.23739498490895317,0.7628410342790909,0.77,0.2594947111745346,0.7308577905000396,0.94,0.18362950657290045,0.8165907915859787,0.94,0.18712946369517025,0.8131246728720428,0.86
29,3,0.91408,0.2616540444612503,0.8446,0.844,1.4008495260146545,480.58500123023987,0.9693665569498596,0.27656239530128635,0.7198572741127668,0.86,0.13251717780242556,0.8674828221975744,0.95,0.36442617478314787,0.6414374430944231,0.74,0.5112481899559498,0.48722379084448425,0.62,0.27421123413749193,0.7264684224216154,0.82,0.40332585592202996,0.5969972456520309,0.84,0.2410452911263208,0.7489234496921311,0.86,0.2167553799268457,0.7846419159471466,0.98,0.164536920515516,0.8412423361105353,0.93,0.17356993678134,0.8243363740445918,0.84
30,3,0.922,0.22151511233329774,0.8579,0.862,1.4088419340503686,496.66176891326904,0.9713891705172647,0.2489983142990315,0.7504558464350674,0.88,0.10471116660918671,0.8967927114928239,0.95,0.31884079448622177,0.6723908629263656,0.92,0.48869845461176364,0.5171637710716043,0.77,0.2358021977308862,0.7590957614527872,0.76,0.34831107963394486,0.6524715038071083,0.72,0.20708497975031104,0.7949346719399969,0.87,0.1866717643593913,0.8133282356406086,0.96,0.1456231858845021,0.8547801392839518,0.9,0.14861366188638292,0.8563951292878245,0.89
